Ort/Flughafen,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,April19,April20,April21
Tirana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1264,1031,1009,1278,943,1082,860,0,0,0,0,0,0,254,264,741,234,17,0,0,0,0,0,0,0,653,900,1355,755,629,1264,0,0
Tivat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,280,0,0,0,0
Tokyo,4840,5359,6613,6046,6228,6157,6679,6263,6361,6544,5295,5456,5533,5404,6332,6023,6236,5973,6155,6369,6024,6164,5779,5654,4968,7621,2898,0,0,110,267,185,196,386,361,498,177,102,305,191,165,326,1682,913,532,6023,0,191
Toronto,5418,4767,8256,7006,7054,8125,12087,11929,10066,6883,4052,6715,7191,6318,7710,8280,8124,9230,11980,11917,9009,7172,5895,7731,7250,6600,3990,0,227,484,1102,1696,1627,995,579,0,0,0,0,0,0,0,0,3810,5510,8280,0,0
Tromsö,544,844,83,0,0,98,395,144,0,0,0,336,546,867,157,0,0,124,579,176,0,0,0,162,340,719,59,0,0,0,290,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunis,856,609,745,551,297,1028,741,733,678,1019,1153,1259,877,1071,1111,948,1299,1656,1470,993,974,1102,1422,1405,1167,1297,381,15,0,398,1428,612,771,224,0,25,0,0,227,687,254,837,309,409,383,948,15,687
Turku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuzla,0,0,0,8,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ufa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valencia,5981,7501,9976,11445,10228,9917,16794,14795,11657,11003,6950,7046,5107,6455,8693,10780,9743,10399,16609,15150,11518,10402,7433,7370,5478,6623,2686,0,51,1114,5170,1489,419,596,1014,1934,782,275,1159,2737,3672,4601,8207,6251,6944,10780,0,2737
