Ort/Flughafen,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,April19,April20,April21
Istanbul,13422,14370,18041,20509,17112,16194,22329,20415,17670,19000,12774,14968,11453,13477,15577,16209,15973,16824,21915,19736,19174,20590,13725,15449,11299,13749,6411,0,0,2119,9337,6911,6635,7207,4424,5920,6003,8087,11319,9646,7961,12465,27153,20226,17472,16209,0,9646
Izmir,646,706,679,1265,1383,2625,4716,3924,3440,3014,841,1588,780,1037,1389,2214,1844,3977,6360,4795,4083,3677,1001,1433,1016,1290,605,0,0,1740,3684,2918,2251,1656,425,636,114,298,539,814,558,2198,5726,4308,2546,2214,0,814
Jeddah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerez De La Frontera,26,0,0,0,0,0,1326,859,473,386,0,0,0,0,0,0,85,0,1354,882,505,365,0,0,0,0,0,0,0,0,509,155,0,0,0,0,0,0,0,0,0,188,502,261,0,0,0,0
Jersey,0,0,0,0,134,163,207,127,151,0,0,0,0,0,0,0,170,324,257,251,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johannesburg,6083,5499,6069,6069,5373,5762,6721,6294,6060,6725,5804,6007,5577,5494,5472,5803,5404,5615,6678,6501,6423,6742,5957,6175,6282,5433,2277,0,0,0,0,0,0,171,495,1623,413,448,759,807,758,733,1511,1875,2888,5803,0,807
Kalamata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,553,569,548,416,0,0,0,0,0,0,0,0,688,369,518,439,0,0,0,0,0,0,221,438,1034,735,946,0,0,0
Kaliningrad,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansai International,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katowice,0,0,0,0,107,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
Kerkyra,0,0,0,0,979,1142,1807,1640,1765,848,0,0,0,0,0,0,1669,2021,2172,1932,1982,1210,0,0,0,0,0,0,0,0,1441,946,1032,525,0,0,0,0,0,0,550,1041,2075,1732,1668,0,0,0
Khartoum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiev,2190,1748,2818,5035,4955,4682,5373,4671,4608,4738,3950,5003,4119,3136,3985,5499,5453,5252,6965,6162,5887,5732,3804,4153,3976,3548,2115,0,217,233,1646,1644,492,293,500,1000,832,795,886,826,1456,2748,4708,4686,4890,5499,0,826
Kishinev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
Kittila,1649,2091,1118,0,0,536,669,258,0,0,0,989,1453,1789,1091,0,0,449,554,226,0,0,0,997,1392,2300,432,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,48,147,0,0,0
Kobenhavn,16928,15590,19052,20747,23169,20896,24455,22685,19438,19239,15825,15550,16945,15962,18326,22561,21866,22918,29115,26340,22375,23217,19534,17740,18146,18504,6279,0,0,1811,5726,6725,5233,2129,1385,2760,1743,650,1073,1916,2294,3897,11522,13031,12048,22561,0,1916
Kos,0,0,0,0,2912,3148,4488,3899,4338,3787,0,0,0,0,0,0,1765,3264,4274,4261,3608,3361,0,0,0,0,0,0,0,0,3061,2465,2623,1882,0,0,0,0,0,0,733,1778,6814,5582,3371,0,0,0
Krakow,1084,1124,1614,2521,2897,2748,3188,2601,2791,2477,1306,1795,1066,1203,1393,2462,3080,3063,3606,3247,2902,2596,1266,1594,1037,1261,298,0,0,0,0,660,668,640,83,561,58,0,0,0,0,569,1572,2127,1402,2462,0,0
Kukes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,741,132,0,0,0
Kuopio,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuusamo,114,291,20,0,0,0,0,0,0,0,0,100,190,292,25,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Köln/Bonn,10970,10489,12517,12237,11231,10660,11215,10077,11088,11384,10605,9886,9298,8970,11284,10159,11362,11658,11926,11326,10090,10764,10768,9692,8835,7972,2881,0,0,611,1417,1839,2799,1507,126,0,0,0,0,0,0,373,421,746,2441,10159,0,0
Lamezia Terme,152,0,306,1441,2211,2533,3541,3148,2760,2208,849,1453,888,1086,1046,1235,2018,2623,3484,3047,2639,2092,0,160,136,0,0,0,0,617,2840,1919,1453,1075,26,132,122,278,206,88,690,1153,3366,2245,1614,1235,0,88
Lanzarote,1836,2338,1849,1979,1727,1768,2137,1911,2175,2097,2282,2002,1673,2243,2297,2144,1708,2021,1940,2219,2106,2196,2392,2071,1737,2363,648,0,0,0,553,516,206,0,490,580,106,0,97,468,324,0,875,824,925,2144,0,468
Larnaca,0,0,1887,5816,6675,8076,9492,8448,8857,9628,1985,1518,788,1273,2628,5538,6963,7813,8485,8491,9316,9757,2649,760,803,1099,747,0,0,760,5882,4338,2154,237,0,0,0,0,0,0,74,790,6179,5283,5174,5538,0,0
Las Palmas,4461,4562,5243,6042,5211,4240,5965,5686,5695,7022,5171,5304,4799,5148,5279,5987,4354,3997,4237,4012,4137,4266,5286,5164,4684,4658,1818,2,0,0,2280,1550,849,354,654,1353,791,190,527,1643,1958,945,4162,3332,2384,5987,2,1643
Las Vegas,0,0,0,2415,2512,3682,5282,4594,3645,3323,214,0,0,0,0,1091,2522,3725,5319,3965,3234,2472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,0,0
Leipzig,1265,1276,1476,1548,1375,1390,1557,1282,1416,1412,1670,1869,1186,1506,1754,1624,2064,2033,1844,1866,1985,1997,0,378,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1624,0,0
Lima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linz,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lisboa,14752,18487,22678,25638,26311,25111,28638,23762,24627,24195,16656,20117,13327,16252,20114,22889,21864,23171,25518,20845,20860,20607,17759,21116,14199,16574,8478,269,1216,3353,10707,10273,8838,2940,3501,6474,3195,729,2404,6114,7590,8394,14385,12561,13270,22889,269,6114
Liège,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0
Ljubljana,3205,3362,4211,4946,5028,5133,5149,3920,5331,4351,3554,4009,3063,3493,4284,4463,4845,5023,5348,3829,4027,1127,2862,2509,2210,2481,727,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,1247,2088,2144,4463,0,0
London,75147,73495,79451,87745,74121,81840,91425,84283,83176,82527,71415,75311,74899,72494,81644,87573,76183,82245,90824,84886,85467,84149,72585,82263,77693,73935,31511,924,2024,2925,10006,20081,8429,4657,4281,7219,4714,3617,3686,4732,4653,4373,6749,18976,28973,87573,924,4732
Longyearbyen,0,0,0,0,0,148,258,101,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Angeles,7669,5803,8734,9551,8946,9367,10326,10091,9399,10131,9172,8647,9092,7722,9304,9753,9230,8846,10217,9840,9467,9841,9268,9289,9235,7787,2762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3452,6112,4887,9753,0,0
Lourdes/Tarbes,0,0,0,921,372,0,0,0,0,100,0,0,0,0,0,0,1266,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lugano,2670,2511,3166,3825,4184,4511,4972,4720,4105,3365,2988,2749,2432,2109,3058,3340,3173,3472,3625,3938,2441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3340,0,0
Luxembourg,4602,4324,5821,6206,6202,5506,5389,5114,5715,4931,5459,5053,4702,3796,5216,6210,5432,5768,4963,5153,5684,4710,5446,5108,4110,3732,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,456,749,1346,6210,0,0
Lvov,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon,346,334,371,353,348,375,341,78,373,354,299,183,318,314,349,308,352,326,304,36,362,365,284,200,276,236,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,308,0,0
Maastricht,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madeira,649,964,1835,1709,1342,1216,1356,1073,1272,1132,935,1285,589,939,1611,2297,1727,1211,1387,1254,1120,1246,1081,1228,713,1149,408,0,0,0,458,553,577,24,154,278,0,0,0,0,0,0,0,0,0,2297,0,0
Madinah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madrid,20689,23269,26491,28881,26920,24895,29639,24236,28268,29450,27106,29942,23197,24390,28563,30295,29293,28255,33993,26374,31909,33276,27144,31029,25022,27601,10618,0,0,913,7357,3719,1955,2278,4550,7751,5577,5016,6554,8883,9308,9538,18278,14882,19088,30295,0,8883
Magnitogorsk,0,67,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe Island,0,0,0,0,0,0,0,0,571,1127,1093,1328,1145,1130,1289,1095,861,1144,1062,449,850,1076,1093,932,821,1375,344,0,0,0,0,0,0,962,563,362,53,0,0,0,0,0,534,583,677,1095,0,0
Malaga,5555,8455,11495,14414,13756,13221,16728,14070,15649,13921,6283,7427,5314,7429,10242,14147,13181,13844,16992,15233,15260,13860,6374,8702,5647,7657,3902,0,71,1355,7630,3014,784,825,782,2645,1012,332,2229,5038,7394,7126,13495,10105,11184,14147,0,5038
Male,2061,2197,2521,3265,255,0,0,0,278,3591,2322,2409,2333,2134,2633,3287,29,0,0,0,575,3660,2466,2291,2547,2550,908,0,0,0,0,0,185,309,707,1652,1631,2636,1287,1041,741,0,985,578,771,3287,0,1041
Malta,2594,3247,4849,5121,5126,5514,7243,5870,6606,6392,3240,3155,2123,2729,3792,5551,4840,5925,7073,5926,6512,6034,3455,3611,2205,3384,1043,0,0,0,2437,1994,579,512,532,675,929,454,405,459,1359,2959,4188,3927,3927,5551,0,459
Manchester,5814,6292,5693,5966,4667,5113,6447,6642,5519,5221,5626,6368,5637,5700,5582,6379,5108,5602,6958,6780,6567,5699,5534,6419,6315,6095,2169,10,0,68,1037,2352,588,190,0,374,261,0,65,298,209,458,1027,1794,3294,6379,10,298
Marrakech,1034,1779,2179,2686,1300,0,0,300,1339,2478,2157,1214,816,2480,3349,3444,2062,0,0,297,1376,2037,2206,1048,840,2357,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3444,0,0
Marseille,0,0,0,313,974,768,820,698,653,604,0,0,0,0,0,951,881,1427,1487,1251,1527,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1111,1536,1119,951,0,0
Mauritius,1703,2077,2137,3128,237,0,0,0,915,3852,2272,2201,2525,2337,2362,3551,2398,2009,2761,2307,3054,3732,2593,2439,1955,2110,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3551,0,0
Menorca,0,0,0,0,0,113,561,63,298,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,544,171,0,0,0,0,0,0,0,0,320,658,937,722,936,0,0,0
Miami,12140,12160,13414,11288,8065,6048,7151,6677,6115,6988,12415,14624,13937,11501,12968,10568,8037,5974,7113,6357,5455,8263,13630,16307,14276,14529,4145,0,0,0,0,402,486,0,0,0,0,0,0,551,666,841,2854,3427,3154,10568,0,551
Mikonos,0,0,0,0,1235,2389,2725,2246,2241,924,0,0,0,0,0,0,1178,2639,2480,2135,2073,716,0,0,0,0,0,0,0,0,3069,2763,2133,943,0,0,0,0,0,0,609,2292,4923,3428,1973,0,0,0
Milano,8281,7966,10284,10067,10290,9635,11779,10754,11721,8244,7142,7152,8004,6641,7745,9345,8712,8617,9799,9357,9695,8136,7456,8044,8424,6161,525,0,0,0,628,154,77,224,43,12,0,0,0,0,0,0,340,1694,1745,9345,0,0
Milas Bodrum International,0,0,0,0,0,156,1422,1015,1090,405,0,0,0,0,0,0,0,0,1454,1336,1170,404,0,0,0,0,0,0,0,109,586,622,656,512,0,0,0,0,0,0,0,408,1826,929,742,0,0,0
Mollis,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montego Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051,1220,566,0,0,0
Montpellier,23,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montreal,4543,3903,5302,6749,6690,6237,7128,7133,6330,6663,4456,4644,4737,4101,5197,6736,6708,6232,7001,7072,6577,6546,6270,5910,6096,5326,3543,0,0,0,247,461,505,374,203,480,585,266,200,226,293,336,2130,3150,4531,6736,0,226
Moskva,7072,6015,7377,6817,6915,8153,9194,8166,6834,6783,6068,7303,6944,6467,7105,6875,7467,7640,9693,8588,7319,6936,6460,7323,7116,6702,3284,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,6875,0,0
Muscat,11441,11411,12939,12971,11937,10344,14330,12910,11214,14401,13260,13960,12354,12083,11552,13495,10588,11088,13624,11604,10706,13747,12313,13148,11485,11278,3638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13495,0,0
München,14160,13239,16591,15837,15198,16926,18285,13982,18534,16616,16063,14702,13504,13415,16594,16062,15967,16766,18720,13744,17565,15340,16055,16090,13830,12108,7433,123,0,2086,4636,4110,4132,3119,1976,1537,836,0,651,580,1290,2777,5160,4600,7808,16062,123,580
Naberevnye Chelny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nairobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,144,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Napoli,1952,2233,3390,4897,5197,4487,6462,5527,5562,5157,1972,2930,2040,3001,3300,5626,5318,5574,6480,5360,6057,5384,2374,3691,2387,2752,460,0,0,1004,3010,2839,2564,1719,0,315,29,0,0,70,587,2733,5752,6247,6973,5626,0,70
New York,23034,19509,28790,30861,29116,29657,35401,35080,32374,34166,26578,29357,25452,20256,27827,32041,29603,29457,35140,34503,32530,34134,25087,30179,26371,22176,9002,228,492,1094,1757,2771,2695,1693,1440,1787,2501,1331,1734,2689,2552,4245,12207,18154,14004,32041,228,2689
Nice,7748,7702,12919,13723,16827,16326,17939,16057,15095,12631,8262,8756,7936,7863,10064,13324,13940,14827,15761,14732,14437,11688,8459,9039,6954,7680,2841,0,0,1429,5461,6382,1622,463,500,1801,1036,287,524,683,1363,3345,8434,7743,7475,13324,0,683
Nis,678,842,970,1373,964,1254,1936,1214,1124,1146,653,783,559,660,797,1296,1171,1107,1124,864,870,798,600,450,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,253,0,1296,0,0
Nürnberg,4963,4730,5443,5329,5662,5745,5693,4581,5925,5550,5688,5171,5008,4814,6836,6540,6756,6714,6507,5660,7635,6478,7498,6119,4542,3178,747,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1871,2149,6540,0,10
Ohrid,491,560,829,715,710,636,2418,911,555,543,456,1399,814,994,1257,1613,988,1357,4356,1640,854,991,714,1360,800,1102,411,0,0,0,256,0,0,0,567,567,652,446,364,0,597,545,4015,1385,100,1613,0,0
Olbia,0,0,294,1846,3605,3664,5380,4292,5306,2377,0,0,0,0,0,1745,2786,3650,4561,3830,4835,2221,0,0,0,0,0,0,0,153,2758,2050,1625,654,0,0,0,0,0,0,0,835,4190,2325,2766,1745,0,0
Orlando,239,368,715,586,686,771,1174,996,0,1904,603,279,966,410,360,1272,517,646,1200,998,407,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1272,0,0
Oslo,5284,5960,7414,6792,6838,7318,13059,9327,6711,6766,4267,5689,5544,6632,7225,6597,6631,8138,13425,9484,7612,6953,4432,6576,6363,7329,2864,0,0,0,2144,1915,179,0,0,39,83,0,78,41,0,401,3656,3801,2504,6597,0,41
Ostrava Leos Janácek,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oulu,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ovda,0,0,0,0,0,0,0,0,0,56,145,286,81,236,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paderborn,0,0,0,27,0,59,0,0,0,28,449,651,675,43,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palermo,0,0,1176,3087,2763,3510,4210,3803,3803,3217,0,0,0,0,100,3346,3045,4421,4705,3946,4167,3196,0,0,0,0,0,0,0,739,3180,3394,2850,2373,8,94,15,0,95,312,848,2906,7127,6671,6729,3346,0,312
Palma De Mallorca,4456,8013,13756,21284,25658,24918,29156,24999,26845,21063,4926,6468,3810,7904,12138,24942,24379,28303,33135,32576,33130,23617,5612,6707,4795,8112,3931,0,0,1115,14818,5462,934,876,2232,3166,1365,527,4209,9021,15884,15447,34578,30290,26583,24942,0,9021
